field,source_value,source_valid,protocol_code,flag_bit,decoded_value,decoded_valid,absolute_error/tolerance,passed
780abc_lat,31.2304,True,2824872,0b1,31.230383212657742,True,0.000017/0.000043,True
780abc_lon,121.4737,True,3512422,0b10,121.47367035714876,True,0.000030/0.000086,True
780abc_altitude,9800.0,True,10800,0b100,9800.0,True,0.000000/1.000000,True
780abc_speed,230.5,True,2305,0b1000,230.5,True,0.000000/0.100000,True
780abc_heading,86.0,True,8600,0b10000,86.0,True,0.000000/0.010000,True
780abc_vertical_rate,0.0,True,32768,0b100000,0.0,True,0.000000/0.010000,True
780abc_callsign,CES1234,True,CES1234,0b1000000,CES1234,True,0.0/0.0,True
000001_lat,0.0,True,2097152,0b1,2.1457677235048322e-05,True,0.000021/0.000043,True
000001_lon,0.0,True,2097152,0b10,4.2915354470096645e-05,True,0.000043/0.000086,True
000001_altitude,0.0,True,1000,0b100,0.0,True,0.000000/1.000000,True
000001_speed,0.0,True,0,0b1000,0.0,True,0.000000/0.100000,True
000001_heading,0.0,True,0,0b10000,0.0,True,0.000000/0.010000,True
000001_vertical_rate,0.0,True,32768,0b100000,0.0,True,0.000000/0.010000,True
000001_callsign,TEST0001,True,TEST0001,0b1000000,TEST0001,True,0.0/0.0,True
780def_lat,30.2741,True,2802589,0b1,30.27410036900052,True,0.000000/0.000043,True
780def_lon,120.1551,True,3497060,0b10,120.1551390064094,True,0.000039/0.000086,True
780def_altitude,7600.0,True,8600,0b100,7600.0,True,0.000000/1.000000,True
780def_speed,,False,0,0b1000,,False,0.0/0.0,True
780def_heading,270.0,True,27000,0b10000,270.0,True,0.000000/0.010000,True
780def_vertical_rate,-1.2,True,32648,0b100000,-1.2,True,0.000000/0.010000,True
780def_callsign,,False,,0b1000000,,False,0.0/0.0,True
